algoritmo,n,tipo,dominio,muestra,repeticion,tiempo_ms,memoria_pico_kb,memoria_algoritmo_kb,estado
naive,16,densa,D0,a,1,0.002232,944,2,ok
naive,16,densa,D0,a,2,0.002273,988,2,ok
naive,16,densa,D0,a,3,0.002309,988,2,ok
strassen,16,densa,D0,a,1,0.002181,948,2,ok
strassen,16,densa,D0,a,2,0.002249,980,2,ok
strassen,16,densa,D0,a,3,0.002257,980,2,ok
naive,16,densa,D0,b,1,0.002170,940,2,ok
naive,16,densa,D0,b,2,0.002242,972,2,ok
naive,16,densa,D0,b,3,0.002237,972,2,ok
strassen,16,densa,D0,b,1,0.002192,944,2,ok
strassen,16,densa,D0,b,2,0.002251,988,2,ok
strassen,16,densa,D0,b,3,0.002232,988,2,ok
naive,16,densa,D0,c,1,0.002289,944,2,ok
naive,16,densa,D0,c,2,0.002305,976,2,ok
naive,16,densa,D0,c,3,0.002307,976,2,ok
strassen,16,densa,D0,c,1,0.002245,944,2,ok
strassen,16,densa,D0,c,2,0.002344,976,2,ok
strassen,16,densa,D0,c,3,0.002344,976,2,ok
naive,16,densa,D10,a,1,0.002281,948,2,ok
naive,16,densa,D10,a,2,0.002355,980,2,ok
naive,16,densa,D10,a,3,0.002392,980,2,ok
strassen,16,densa,D10,a,1,0.002290,948,2,ok
strassen,16,densa,D10,a,2,0.002361,980,2,ok
strassen,16,densa,D10,a,3,0.002370,980,2,ok
naive,16,densa,D10,b,1,0.002287,948,2,ok
naive,16,densa,D10,b,2,0.002347,992,2,ok
naive,16,densa,D10,b,3,0.002388,992,2,ok
strassen,16,densa,D10,b,1,0.002283,948,2,ok
strassen,16,densa,D10,b,2,0.002335,980,2,ok
strassen,16,densa,D10,b,3,0.002353,980,2,ok
naive,16,densa,D10,c,1,0.002292,948,2,ok
naive,16,densa,D10,c,2,0.002370,992,2,ok
naive,16,densa,D10,c,3,0.002384,992,2,ok
strassen,16,densa,D10,c,1,0.002271,948,2,ok
strassen,16,densa,D10,c,2,0.002355,980,2,ok
strassen,16,densa,D10,c,3,0.002367,980,2,ok
naive,16,diagonal,D0,a,1,0.002402,948,2,ok
naive,16,diagonal,D0,a,2,0.002475,980,2,ok
naive,16,diagonal,D0,a,3,0.002462,980,2,ok
strassen,16,diagonal,D0,a,1,0.002429,948,2,ok
strassen,16,diagonal,D0,a,2,0.002471,980,2,ok
strassen,16,diagonal,D0,a,3,0.002484,980,2,ok
naive,16,diagonal,D0,b,1,0.002303,948,2,ok
naive,16,diagonal,D0,b,2,0.002355,980,2,ok
naive,16,diagonal,D0,b,3,0.002372,980,2,ok
strassen,16,diagonal,D0,b,1,0.002502,972,2,ok
strassen,16,diagonal,D0,b,2,0.002423,1004,2,ok
strassen,16,diagonal,D0,b,3,0.002426,1004,2,ok
naive,16,diagonal,D0,c,1,0.002343,944,2,ok
naive,16,diagonal,D0,c,2,0.002418,976,2,ok
naive,16,diagonal,D0,c,3,0.002429,976,2,ok
strassen,16,diagonal,D0,c,1,0.002388,952,2,ok
strassen,16,diagonal,D0,c,2,0.002440,984,2,ok
strassen,16,diagonal,D0,c,3,0.002402,984,2,ok
naive,16,diagonal,D10,a,1,0.002562,948,2,ok
naive,16,diagonal,D10,a,2,0.002479,980,2,ok
naive,16,diagonal,D10,a,3,0.002475,980,2,ok
strassen,16,diagonal,D10,a,1,0.002444,944,2,ok
strassen,16,diagonal,D10,a,2,0.002471,988,2,ok
strassen,16,diagonal,D10,a,3,0.002488,988,2,ok
naive,16,diagonal,D10,b,1,0.002423,948,2,ok
naive,16,diagonal,D10,b,2,0.002463,980,2,ok
naive,16,diagonal,D10,b,3,0.002496,980,2,ok
strassen,16,diagonal,D10,b,1,0.002421,944,2,ok
strassen,16,diagonal,D10,b,2,0.002476,988,2,ok
strassen,16,diagonal,D10,b,3,0.002480,988,2,ok
