algoritmo,n,tipo,dominio,muestra,repeticion,tiempo_ms,memoria_pico_kb,memoria_algoritmo_kb,estado
sort,10,aleatorio,D1,a,1,0.000016,1388,0,ok
sort,10,aleatorio,D1,a,2,0.000015,1472,0,ok
sort,10,aleatorio,D1,a,3,0.000016,1472,0,ok
mergesort,10,aleatorio,D1,a,1,0.000034,1392,0,ok
mergesort,10,aleatorio,D1,a,2,0.000034,1472,0,ok
mergesort,10,aleatorio,D1,a,3,0.000034,1472,0,ok
quicksort,10,aleatorio,D1,a,1,0.000063,1388,0,ok
quicksort,10,aleatorio,D1,a,2,0.000059,1468,0,ok
quicksort,10,aleatorio,D1,a,3,0.000060,1468,0,ok
patiencesort,10,aleatorio,D1,a,1,0.000548,1412,0,ok
patiencesort,10,aleatorio,D1,a,2,0.000541,1496,0,ok
patiencesort,10,aleatorio,D1,a,3,0.000527,1496,0,ok
sort,10,aleatorio,D1,b,1,0.000012,1416,0,ok
sort,10,aleatorio,D1,b,2,0.000012,1500,0,ok
sort,10,aleatorio,D1,b,3,0.000012,1500,0,ok
mergesort,10,aleatorio,D1,b,1,0.000033,1396,0,ok
mergesort,10,aleatorio,D1,b,2,0.000034,1476,0,ok
mergesort,10,aleatorio,D1,b,3,0.000036,1476,0,ok
quicksort,10,aleatorio,D1,b,1,0.000093,1392,0,ok
quicksort,10,aleatorio,D1,b,2,0.000115,1472,0,ok
quicksort,10,aleatorio,D1,b,3,0.000098,1472,0,ok
patiencesort,10,aleatorio,D1,b,1,0.000738,1384,0,ok
patiencesort,10,aleatorio,D1,b,2,0.000668,1472,0,ok
patiencesort,10,aleatorio,D1,b,3,0.000652,1472,0,ok
sort,10,aleatorio,D1,c,1,0.000012,1392,0,ok
sort,10,aleatorio,D1,c,2,0.000012,1472,0,ok
sort,10,aleatorio,D1,c,3,0.000013,1472,0,ok
mergesort,10,aleatorio,D1,c,1,0.000036,1388,0,ok
mergesort,10,aleatorio,D1,c,2,0.000041,1468,0,ok
mergesort,10,aleatorio,D1,c,3,0.000034,1468,0,ok
quicksort,10,aleatorio,D1,c,1,0.000090,1388,0,ok
quicksort,10,aleatorio,D1,c,2,0.000086,1472,0,ok
quicksort,10,aleatorio,D1,c,3,0.000082,1472,0,ok
patiencesort,10,aleatorio,D1,c,1,0.000755,1392,0,ok
patiencesort,10,aleatorio,D1,c,2,0.000648,1480,0,ok
patiencesort,10,aleatorio,D1,c,3,0.000646,1480,0,ok
sort,10,aleatorio,D7,a,1,0.000017,1388,0,ok
sort,10,aleatorio,D7,a,2,0.000017,1468,0,ok
sort,10,aleatorio,D7,a,3,0.000016,1468,0,ok
mergesort,10,aleatorio,D7,a,1,0.000039,1388,0,ok
mergesort,10,aleatorio,D7,a,2,0.000038,1468,0,ok
mergesort,10,aleatorio,D7,a,3,0.000039,1468,0,ok
quicksort,10,aleatorio,D7,a,1,0.000114,1392,0,ok
quicksort,10,aleatorio,D7,a,2,0.000110,1472,0,ok
quicksort,10,aleatorio,D7,a,3,0.000110,1472,0,ok
patiencesort,10,aleatorio,D7,a,1,0.000595,1384,0,ok
patiencesort,10,aleatorio,D7,a,2,0.000554,1464,0,ok
patiencesort,10,aleatorio,D7,a,3,0.000556,1464,0,ok
sort,10,aleatorio,D7,b,1,0.000024,1420,0,ok
sort,10,aleatorio,D7,b,2,0.000024,1500,0,ok
sort,10,aleatorio,D7,b,3,0.000024,1500,0,ok
mergesort,10,aleatorio,D7,b,1,0.000044,1392,0,ok
mergesort,10,aleatorio,D7,b,2,0.000042,1472,0,ok
mergesort,10,aleatorio,D7,b,3,0.000041,1472,0,ok
quicksort,10,aleatorio,D7,b,1,0.000112,1388,0,ok
quicksort,10,aleatorio,D7,b,2,0.000109,1468,0,ok
quicksort,10,aleatorio,D7,b,3,0.000108,1468,0,ok
patiencesort,10,aleatorio,D7,b,1,0.000537,1384,0,ok
